771,1001
253,1002
14204,1004
1720,1005
112,1006
2763,1007
755,1008
324,1009
1113,1010
373,1011
329,1012
144,1013
3356,1014
461,1016
647,1015
450,1017
27,1019
1427,1021
1244,1022
709,1453
71,1023
3196,1024
4078,1025
948,1026
2513,1027
610,1028
1064,1170
687,1029
848,1030
3351,1032
9122,1034
312,1035
3632,1031
302,1037
753,1038
443,1039
491,1040
745,1041
281,1042
4684,1043
632,1044
281,1045
884,1046
1094,1047
930,1245
3230,1049
351,1050
91,1051
328,1052
41248,1053
1407,1054
346,1056
523,1057
836,1058
500,1060
1155,1061
2307,1130
931,1062
531,1063
1045,1064
1797,1065
83,1066
254,1067
779,1068
1502,1069
4843,1071
3177,1072
1003,1073
2529,1074
1361,1075
127,1076
192,1077
1518,1078
816,1079
643,1080
732,1081
627,1082
912,1083
868,1084
394,1085
281,1087
904,1088
2195,1089
348,1090
1594,1092
4881,1093
755,1094
1011,1096
1144,1098
1542,1099
133,1100
151,1101
947,1102
1980,1103
463,1104
1755,1105
176,1106
135,1107
1178,1108
2222,1109
148,1110
128,1111
432,1112
820,1113
657,1114
1337,1115
499,1116
149,1117
1270,1118
116,1121
1154,1123
677,1124
616,1125
508,1127
309,1128
278,1129
393,1133
1739,1134
2149,1135
880,1136
3020,1138
442,1139
771,1140
449,1141
4769,1142
9787,1143
435,1146
1169,1145
489,1147
1854,1148
1059,1149
215,1150
1152,1151
750,1152
2092,1153
144,1155
810,1156
2213,1157
1043,1158
3328,1159
9895,1160
66,1162
2061,1163
1603,1165
2422,1166
639,1167
624,1169
856,1171
13093,1173
180,1174
809,1175
180,1177
1879,1179
836,1180
1235,1181
1203,1338
1448,1183
643,1187
770,1184
645,1188
1125,1189
88,1190
157,1191
2255,1192
229,1193
6356,1194
1770,1195
1196,1196
353,1197
268,1198
2132,1199
215,1200
7175,1202
1313,1203
277,1206
316,1207
128,1208
758,1209
229,1210
1393,1211
725,1212
1321,1213
155,1214
891,1216
166,1219
3176,1224
378,1225
643,1227
648,1228
1243,1229
315,1230
1949,1231
2258,1232
131,1233
170,1234
1139,1235
1001,1236
1647,1237
2632,1238
617,1239
633,1240
1345,1241
135,1242
1239,1243
7848,1244
2195,1246
325,1247
2148,1248
10043,1249
1944,1250
782,1252
2024,1254
634,1255
348,1257
1188,1258
697,1259
299,1260
643,1261
6925,1262
3783,1263
1028,1264
3419,1265
2515,1266
249,1268
3410,1269
1510,1272
1772,1273
642,1274
2549,1275
1624,1276
818,1095
119,1277
1027,1267
84,1279
139,1280
4419,1281
259,1282
22336,1283
689,1284
1221,1285
946,1286
2701,1288
6509,1289
1259,1290
842,1291
152,1293
879,1294
676,1295
413,1296
843,1297
141,1298
569,1299
4856,1185
729,1204
2526,1301
161,1302
1706,1303
2944,1304
2235,1305
1632,1306
842,1307
810,1308
86,1309
250,1310
44,1311
8474,1313
1733,1314
327,1317
726,1318
464,1319
3748,1320
888,1321
4923,1322
978,1323
994,1325
589,1328
149,1329
184,1330
183,1331
650,1334
761,1332
3386,1333
396,1335
1160,1336
1288,1337
1432,1339
1779,1343
2288,1345
5845,1344
865,1346
1997,1347
2918,1348
476,1349
2537,1350
1565,1351
576,1352
13243,1354
470,1355
209,1356
501,1357
431,1358
244,1359
1823,1360
1527,1361
775,1362
1748,1363
750,1364
1160,1365
748,1367
836,1368
940,1369
1689,1370
1258,1371
442,1372
1038,1373
1844,1374
785,1375
3977,1376
2606,1378
758,1379
651,1380
917,1381
1555,1383
2228,1384
990,1385
1138,1386
257,1387
1103,1388
1843,1389
1266,1390
561,1342
1676,1353
1051,1366
283,1382
267,1391
650,1392
540,1393
981,1396
994,1397
1359,1398
2089,1399
137,1400
2126,1401
657,1402
1279,1403
134,1404
1264,1405
174,1406
1000,1407
665,1408
306,1410
273,1411
588,1412
137,1215
475,1415
1026,1416
1081,1418
5981,1419
1715,1420
728,1421
1359,1422
1114,1423
1728,1424
289,1425
6882,1427
2570,1426
