numero_uai,name_entity,Secteur,id_type,code_academy,id_town
0270131W,Ecole primaire,Public,151,21,27161
0270204A,Ecole primaire les Pommiers,Public,151,21,27164
0271644R,Ecole élémentaire,Public,151,21,27165
0271872N,Village equestre de Conches,Privé,300,21,27165
0270087Y,Ecole maternelle Jules Ferry,Public,101,21,27165
0271094T,Collège Guillaume de Conches,Public,340,21,27165
0271202K,Ecole primaire privée Sainte Foy,Privé,151,21,27165
0271438S,Ecole maternelle le Chêne au Loup,Public,101,21,27165
0270697L,Ecole primaire,Public,151,21,27167
0270660W,Ecole primaire,Public,151,21,27169
0270013T,Collège Europe,Public,340,21,27170
0271207R,Ecole primaire privée Sainte Marie,Privé,151,21,27170
0271254S,Ecole primaire,Public,151,21,27170
0271669T,Ecole maternelle,Public,101,21,27174
0270718J,Ecole élémentaire,Public,151,21,27174
0271226L,Ecole maternelle intercommunale,Public,101,21,27176
0270371G,Ecole élémentaire,Public,151,21,27177
0270249Z,Ecole primaire Ernest Anquetil,Public,151,21,27179
0270553E,Ecole primaire Claude Monet,Public,151,21,27180
0270868X,Ecole élémentaire,Public,151,21,27181
0271241C,Ecole élémentaire publique,Public,151,21,27183
0271445Z,Ecole maternelle René Poilvert,Public,101,21,27183
0270604K,Ecole élémentaire,Public,151,21,27187
0271412N,Ecole primaire,Public,151,21,27188
0270960X,Ecole élémentaire,Public,151,21,27191
0270962Z,Ecole primaire,Public,151,21,27191
0271275P,Ecole primaire,Public,151,21,27191
0270605L,Ecole élémentaire,Public,151,21,27192
0271251N,Ecole primaire,Public,151,21,27193
0271516B,Ecole primaire Jules Verne,Public,151,21,27196
0271016H,Lycée d'enseignement général et technologique agricole de Chambray,Public,300,21,27198
0270812L,Ecole élémentaire,Public,151,21,27198
0271060F,Collège privé l'Immaculée,Privé,340,21,27198
0271211V,Ecole primaire privée de l'Immaculée,Privé,151,21,27198
0271363K,Ecole primaire,Public,151,21,27198
0271748D,Ecole maternelle,Public,101,21,27198
0270014U,Collège Aimé Charpentier,Public,340,21,27198
0271675Z,Ecole primaire,Public,151,21,27198
0270158A,Ecole primaire,Public,151,21,27199
0271143W,Ecole élémentaire,Public,151,21,27202
0270984Y,Ecole primaire,Public,151,21,27203
0271737S,Ecole maternelle,Public,101,21,27205
0271256U,Ecole primaire,Public,151,21,27207
0270699N,Ecole primaire,Public,151,21,27209
0271843G,Ecole maternelle Jean Paul,Public,101,21,27210
0270929N,Ecole élémentaire,Public,151,21,27213
0270943D,Ecole primaire,Public,151,21,27213
0271435N,Ecole élémentaire,Public,151,21,27213
0271446A,Ecole élémentaire,Public,151,21,27213
0270947H,Ecole primaire,Public,151,21,27213
0271612F,école maternelle,Public,101,21,27213
0270932S,Ecole primaire Paul-Armand Languet,Public,151,21,27213
0270928M,Ecole élémentaire,Public,151,21,27213
0271731K,Ecole primaire,Public,151,21,27214
0270487H,Ecole maternelle,Public,101,21,27216
0270829E,Ecole élémentaire,Public,151,21,27217
0271642N,Ecole primaire Michel Hocquard,Public,151,21,27218
0270608P,Ecole élémentaire,Public,151,21,27219
0271180L,Ecole primaire privée Notre-Dame de Joie,Privé,151,21,27226
0271010B,Ecole maternelle,Public,101,21,27226
0271106F,Collège Louis Anquetin,Public,340,21,27226
0271470B,Ecole élémentaire Georges Delamare,Public,151,21,27226
0270771S,Ecole primaire,Public,151,21,27227
0271070S,Lycée polyvalent privé Notre-Dame,Privé,306,21,27229
0271196D,Ecole primaire privée Notre Dame - Saint François,Privé,151,21,27229
0270074J,Ecole maternelle Navarre,Public,101,21,27229
0271173D,Collège Jean Rostand,Public,340,21,27229
0271198F,Ecole primaire privée Saint Jean,Privé,151,21,27229
0271379C,Ecole primaire privée l'Immaculée,Privé,151,21,27229
0271439T,Ecole maternelle Jacques Prévert,Public,101,21,27229
0271539B,Ecole maternelle Henri Wallon,Public,101,21,27229
0271891J,Ecole démocratique Ebroïcienne,Privé,151,21,27229
0271743Y,Section d'enseignement professionnel privé Notre-Dame,Privé,334,21,27229
0271110K,Ecole maternelle Jules Michelet,Public,101,21,27229
0270051J,"Lycée professionnel Modeste Leroy - Lycée des métiers des sciences, de l'ingénierie et de l'industrie",Public,320,21,27229
0270110Y,Ecole Jean Moulin 2,Public,151,21,27229
0271230R,Ecole maternelle Romain Rolland,Public,101,21,27229
0271826N,Ecole primaire Maxime Marchand,Public,151,21,27229
0271870L,Micro-lycée de l'académie de Rouen,Public,315,21,27229
0271710M,Ecole primaire Le Clos au Duc,Public,151,21,27229
0270017X,Lycée général et technologique Modeste Leroy,Public,300,21,27229
0270019Z,Collège Jean Jaurès,Public,340,21,27229
0270069D,Ecole maternelle Victor Hugo,Public,101,21,27229
0270099L,Ecole élémentaire Paul Bert,Public,151,21,27229
0270114C,Ecole élémentaire Jacques Cartier,Public,151,21,27229
0271174E,Section d'enseignement général et professionnel adapté Jean Rostand,Public,390,21,27229
0271268G,Lycée professionnel Aristide Briand,Public,320,21,27229
0271471C,Ecole élémentaire Maillot,Public,151,21,27229
0271559Y,Ecole élémentaire de Navarre,Public,151,21,27229
0271579V,Lycée général et technologique Léopold Sedar Senghor,Public,300,21,27229
0271896P,Groupe scolaire Simone Veil,Public,151,21,27229
0270107V,Ecole primaire Jean Macé,Public,151,21,27229
0270016W,Lycée général et technologique Aristide Briand,Public,300,21,27229
0270108W,Ecole élémentaire,Public,151,21,27229
0271755L,Ecole primaire Joliot-Curie,Public,151,21,27229
0270020A,Collège Paul Bert,Public,340,21,27229
0270022C,Collège Navarre,Public,340,21,27229
0270066A,Ecole maternelle Isambard,Public,101,21,27229
0270071F,Ecole maternelle Pablo Picasso,Public,101,21,27229
0270105T,Ecole élémentaire Victor Hugo,Public,151,21,27229
0270106U,Ecole élementaire,Public,151,21,27229
0270893Z,Section d'enseignement général et professionnel adapté Georges Politzer,Public,390,21,27229
0271019L,Ecole primaire le Bois Bohy,Public,151,21,27229
0271176G,Ecole élémentaire Jules Michelet,Public,151,21,27229
0271231S,Collège privé l'Immaculée,Privé,340,21,27229
0271440U,Ecole maternelle Robert Desnos,Public,101,21,27229
0271449D,Institution Notre-Dame Saint-François,Privé,340,21,27229
0271605Y,Ecole primaire privée Saint Pierre Marie Cécile,Privé,151,21,27229
0271229P,ECOLE ELEMENTAIRE ROMAIN ROLLAND,Public,151,21,27229
0270018Y,"Lycée professionnel Augustin Hébert - Lycée des métiers de l'habitat, de la construction et de l'efficacité énergétique",Public,320,21,27229
0270072G,Ecole maternelle Jean Moulin,Public,101,21,27229
0270098K,Ecole élémentaire Isambard,Public,151,21,27229
0270109X,Ecole élémentaire Jean Moulin 1,Public,151,21,27229
0270111Z,Ecole élémentaire La Forêt,Public,151,21,27229
0271095U,Collège Georges Politzer,Public,340,21,27229
0271104D,Collège Henri Dunant,Public,340,21,27229
0271107G,Lycée d'enseignement général et technologique agricole d'Evreux,Public,300,21,27229
0271884B,Ecole de production,Privé,320,21,27229
0271892K,Collège privé démocratique Ebroïcien,Privé,340,21,27229
0271238Z,Collège Claude Monet,Public,340,21,27230
0270377N,Ecole élémentaire Jules Ferry,Public,151,21,27230
0271409K,Ecole maternelle,Public,101,21,27230
0270578G,Ecole maternelle,Public,101,21,27232
0270662Y,Ecole élémentaire,Public,151,21,27233
0271841E,Ecole élémentaire,Public,151,21,27235
0270831G,Ecole primaire,Public,151,21,27238
0271617L,Ecole primaire Henri Dès,Public,151,21,27240
0270834K,Ecole primaire,Public,151,21,27242
0270663Z,Ecole élémentaire,Public,151,21,27243
0270059T,Ecole maternelle,Public,101,21,27246
0271406G,Section d'enseignement général et professionnel adapté Guy de Maupassant,Public,390,21,27246
0271817D,Ecole élémentaire,Public,151,21,27246
0271098X,Collège Guy de Maupassant,Public,340,21,27246
0271564D,Ecole élémentaire,Public,151,21,27247
0270325G,Ecole élémentaire,Public,151,21,27248
0270961Y,Ecole primaire,Public,151,21,27249
0270251B,Ecole élémentaire Victor Hugo,Public,151,21,27251
0270134Z,Ecole primaire,Public,151,21,27254
0271734N,Ecole primaire,Public,151,21,27256
0270665B,Ecole élémentaire,Public,151,21,27260
0270399M,Ecole élémentaire,Public,151,21,27261
0270720L,Ecole primaire,Public,151,21,27263
0271314G,Ecole primaire,Public,151,21,27263
0271811X,Ecole primaire,Public,151,21,27266
0270963A,Ecole élémentaire Paul Doumer,Public,151,21,27275
0271357D,Ecole maternelle Louise Michel,Public,101,21,27275
0271490Y,Ecole élémentaire Orienne,Public,151,21,27275
0271355B,Ecole élémentaire Louise Michel,Public,151,21,27275
0271526M,Ecole maternelle Flora Tristan,Public,101,21,27275
0271580W,Lycée général et technologique André Malraux,Public,300,21,27275
0270092D,Ecole maternelle les Tourterelles,Public,101,21,27275
0270025F,Collège Georges d'Amboise,Public,340,21,27275
0270381T,Ecole primaire LES PETITS PRINCES,Public,151,21,27277
0270382U,Ecole primaire Duflot,Public,151,21,27278
0271442W,Collège Marc Chagall,Public,340,21,27279
0271491Z,Ecole élémentaire  Castle Donington,Public,151,21,27279
0271419W,Ecole maternelle les Coccinelles,Public,101,21,27279
0271274N,Ecole primaire,Public,151,21,27280
0270488J,Ecole élémentaire,Public,151,21,27282
0271631B,Collège Pablo Picasso,Public,340,21,27284
0271184R,Ecole primaire privée Jeanne d'Arc,Privé,151,21,27284
0270061V,Ecole maternelle Jacques Prévert,Public,101,21,27284
0270160C,Ecole élémentaire Eugène Anne,Public,151,21,27284
0270161D,Ecole élémentaire,Public,151,21,27284
0271269H,Ecole primaire Irène Joliot-Curie,Public,151,21,27284
0271641M,Section d'enseignement général et professionnel adapté Victor Hugo,Public,390,21,27284
0271047S,Collège privé Jeanne d'Arc,Privé,340,21,27284
0270026G,Lycée polyvalent Louise Michel,Public,306,21,27284
0270027H,Section d'enseignement professionnel Louise Michel,Public,334,21,27284
0271321P,Collège Victor Hugo,Public,340,21,27284
0271425C,Ecole primaire Paul Eluard,Public,151,21,27284
0270937X,Ecole primaire,Public,151,21,27285
0270837N,Ecole élémentaire,Public,151,21,27287
0271536Y,Ecole élementaire,Public,151,21,27288
0271340K,Ecole élémentaire,Public,151,21,27290
0271146Z,Ecole primaire,Public,151,21,27290
0270524Y,Ecole élémentaire,Public,151,21,27294
0270522W,Ecole maternelle intercommunale,Public,101,21,27294
0270302G,Ecole élémentaire,Public,151,21,27295
0271788X,Ecole élémentaire,Public,151,21,27298
0271492A,Ecole primaire Paul Langevin - Henri Wallon,Public,151,21,27299
0271172C,Collège Marcel Pagnol,Public,340,21,27299
0270210G,Ecole maternelle intercommunale,Public,101,21,27300
0270384W,Ecole primaire,Public,151,21,27301
0270401P,Ecole primaire Jean de La Fontaine,Public,151,21,27302
0270136B,Ecole élémentaire,Public,151,21,27306
0271423A,Ecole maternelle,Public,101,21,27306
0271594L,Ecole primaire,Public,151,21,27307
0270387Z,Ecole élémentaire,Public,151,21,27309
0270580J,Ecole maternelle intercommunale,Public,101,21,27310
0271534W,Ecole primaire,Public,151,21,27311
0270403S,Ecole primaire,Public,151,21,27313
0271258W,Ecole primaire Alphonse Daudet,Public,151,21,27316
0270404T,Ecole élémentaire,Public,151,21,27320
0270452V,Ecole élementaire La Vallée,Public,151,21,27322
0271487V,Ecole primaire le Village,Public,151,21,27322
0271242D,Ecole maternelle,Public,101,21,27324
0270611T,Ecole élémentaire,Public,151,21,27327
0270562P,Ecole primaire,Public,151,21,27329
0271246H,Ecole élémentaire,Public,151,21,27330
0270939Z,Ecole élémentaire,Public,151,21,27331
0270455Y,Ecole primaire,Public,151,21,27332
0270582L,Ecole primaire,Public,151,21,27333
0271330Z,Ecole primaire,Public,151,21,27335
0270563R,Ecole élémentaire,Public,151,21,27337
0270182B,Ecole élémentaire,Public,151,21,27338
0271538A,Ecole primaire Germaine BUISSON,Public,151,21,27339
0270779A,Ecole primaire,Public,151,21,27340
0270986A,Ecole primaire,Public,151,21,27343
0270139E,Ecole primaire du Haut Bois,Public,151,21,27347
0271688N,Ecole primaire,Public,151,21,27348
0271333C,Ecole primaire,Public,151,21,27349
0270870Z,Ecole primaire,Public,151,21,27350
0271302U,Ecole maternelle,Public,101,21,27351
0270459C,Ecole élémentaire,Public,151,21,27351
0271794D,Ecole primaire,Public,151,21,27354
0271747C,Ecole élémentaire,Public,151,21,27355
0271327W,Ecole maternelle Louis Pasteur,Public,101,21,27355
0270140F,Ecole primaire,Public,151,21,27358
0270780B,Ecole élémentaire,Public,151,21,27363
0271519E,Ecole élémentaire,Public,151,21,27365
0271521G,Ecole maternelle les Emotelles,Public,101,21,27365
0271249L,Ecole élémentaire,Public,151,21,27367
0271593K,Ecole maternelle,Public,101,21,27367
0270388A,Ecole élémentaire,Public,151,21,27368
0270185E,Ecole élémentaire,Public,151,21,27370
0271240B,Ecole élémentaire,Public,151,21,27372
0271842F,Ecole primaire,Public,151,21,27374
0270029K,Lycée polyvalent les Fontenelles - Lycée des métiers de l'énergie et de l'efficacité énergétique,Public,306,21,27375
